"xnfs","%clipboard bitte nicht freischalten, ich habe eine Nachricht gesendet.","Nicht Freischalten"
"xgruppensuche","Gruppensuche mit dem Handy: https://www.facebook.com/groups/acneinversa/permalink/1504933379622712","Video Gruppensuche"
"xlmdfdg","http://www.lmdfdg.com/?q=%filltext:name=Suche:width=50%","Lass mich das für dich googeln"
"xr7","7.) Keine Cannabis (THC oder CBD), Medikamenten- oder Verbandmaterial- oder Medizinproduktetausch- oder Kaufangebote. Dies steht im Einklang mit §95 Arzneimittelgesetz (AMG https://dejure.org/gesetze/AMG/95.html)

7.1) Der Informationsaustausch jeglicher Art zum illegalen Erwerb/Verkauf von Cannabisprodukten ist strengsten untersagt. Der Versuch ist bereits strafbar und wird zur Anzeige gebracht","Regel 7"
"xr8","8.) Admins dürfen nicht blockiert werden.","Regel 8"
"xr9","9.) Aufrufe zu Studien, Spenden, Mitarbeit oder Teilnahme an irgendwelchen Maßnahmen dürfen nicht einfach gepostet werden, sondern sind im Vorfeld mit den Admins (@Yvonne Bergmann, @Michael V Grossklos) abzuklären.","Regel 9"
"xregeln","%snippet:xr1%

%snippet:xr2%

%snippet:xr3%

%snippet:xr4%

%snippet:xr5%

%snippet:xr6%

%snippet:xr7%

%snippet:xr8%

%snippet:xr9%","Gruppenregeln"
"xep","Dear %clipboard,

thanks for your interest in our HS-Group https://www.facebook.com/groups/acneinversa.

We’re sorry to inform you that we only adding German speaking people to our group. 
We have checked your profile and think that you are not German-speaking.
We could be wrong. If so, please don't hesitate to inform us.

Michael 
(Group-Admin)","Profilprüfung eng"
"xkd","Ich habe die Kommentarfunktion für diesen Beitrag deaktiviert: %clipboard","Kommentare deaktivert"
"xkeinediagnose","Wir dürfen und wollen keine Diagnosen stellen. Bitte begebe dich damit zu einem Dermatologen. Adressen findest du im Zweifel hier: https://www.jameda.de/arztsuche. Dort kann dir adäquat und schnell geholfen werden.","Keine Diagnose"
"xaigs","https://www.facebook.com/groups/acneinversa/search/?query=%filltext:name=Query%","Gruppensuche"
"xfragen","Hallo,

du hast eine Beitrittsanfrage zu unserer Gruppe https://www.facebook.com/groups/MedCanAi gestellt.

Wir stellen dir im Rahmen der Anfrage 3 einfache Fragen. Leider hast du diese noch nicht vollständig brantwortet.

Ich möchte dich bitten dies noch zu tun, ansonsten kann ich dich leider nicht freischalten.

Vielen Dank
%key:enter%
%key:esc%","Fragen Gruppenbeitritt"
"xneuanmelden","Bitte einfach den Antrag abbrechen und neu anmelden. Die Fragen beantworten. Fertig!","xneuanmelden"
"xcodc","Disclaimer: Die nachfolgende Aussage bildet ausschließlich meine persönliche, freie Meinung ab, welche nicht zwangsläufig mit dem allgemeinen Konsens konform gehen muss. Leser könnten durch Diese verstört, beleidigt oder sich gar persönlich angegriffen fühlen. Weiterlesen also auf eigene Gefahr.","Comment Disclaimer"
